City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-7.58,84,0,12.66,light snow
1,Juwana,ID,-6.715,111.1514,75.65,90,100,5.64,overcast clouds
2,Sao Filipe,CV,14.8961,-24.4956,72.81,70,75,13.56,broken clouds
3,Bengkulu,ID,-3.8004,102.2655,76.69,87,97,6.64,moderate rain
4,Shingu,JP,33.7333,135.9833,36.77,65,100,5.93,overcast clouds
5,Norman Wells,CA,65.282,-126.8329,-41.76,66,20,3.44,mist
6,Hermanus,ZA,-34.4187,19.2345,71.8,64,0,9.71,clear sky
7,Rosarito,MX,32.3333,-117.0333,58.24,36,56,3.94,broken clouds
8,Butaritari,KI,3.0707,172.7902,80.2,79,100,19.55,light rain
9,Faanui,PF,-16.4833,-151.75,81.3,75,26,19.71,scattered clouds
10,Petropavlovka,RU,50.6114,105.3196,-4.11,92,89,3.91,overcast clouds
11,Santo Domingo,DO,18.5001,-69.9886,83.88,68,40,5.99,scattered clouds
12,Vila Velha,BR,-20.3297,-40.2925,87.75,70,20,16.11,few clouds
13,Vestmanna,FO,62.1564,-7.1664,40.12,87,100,18.41,light rain
14,Pevek,RU,69.7008,170.3133,-12.91,100,96,1.36,overcast clouds
15,Kapaa,US,22.0752,-159.319,71.92,93,75,3.44,light rain
16,Rikitea,PF,-23.1203,-134.9692,78.76,74,12,16.04,few clouds
17,The Valley,AI,18.217,-63.0578,82.26,69,40,14.97,scattered clouds
18,Venice,US,27.0998,-82.4543,82.27,79,0,6.91,clear sky
19,Atuona,PF,-9.8,-139.0333,78.69,81,83,20.42,light rain
20,Khatanga,RU,71.9667,102.5,-24.05,100,94,2.86,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,64.51,55,40,26.46,scattered clouds
22,Kasane,BW,-17.8167,25.15,84.29,54,40,5.75,light rain
23,Vaini,TO,-21.2,-175.2,78.96,94,40,12.66,light rain
24,Puerto Madryn,AR,-42.7692,-65.0385,84.27,29,97,8.41,overcast clouds
25,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.0,78,100,11.5,light snow
26,Castro,BR,-24.7911,-50.0119,74.12,86,23,8.88,few clouds
27,Ushuaia,AR,-54.8,-68.3,67.66,40,75,12.66,broken clouds
28,Mataura,NZ,-46.1927,168.8643,61.41,97,99,3.44,overcast clouds
29,Ostersund,SE,63.1792,14.6357,18.05,100,100,1.14,overcast clouds
30,Teya,RU,60.3778,92.6267,4.39,97,100,4.09,overcast clouds
31,Ahipara,NZ,-35.1667,173.1667,69.8,97,100,6.62,overcast clouds
32,Pastavy,BY,55.1168,26.8326,30.25,93,100,8.79,overcast clouds
33,Port Hedland,AU,-20.3167,118.5667,87.03,56,82,11.9,broken clouds
34,Pudozh,RU,61.8099,36.5345,25.68,88,99,6.69,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,82.24,66,96,15.52,overcast clouds
36,Lazaro Cardenas,MX,17.9583,-102.2,85.77,30,4,2.68,clear sky
37,Mahebourg,MU,-20.4081,57.7,80.89,83,40,3.44,light rain
38,Bluff,NZ,-46.6,168.3333,61.88,97,100,5.79,overcast clouds
39,Provideniya,RU,64.3833,-173.3,8.76,94,49,12.01,scattered clouds
40,Irun,ES,43.339,-1.7894,52.45,66,0,8.05,clear sky
41,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,66,75,9.22,broken clouds
42,Savalou,BJ,7.9281,1.9756,97.56,24,3,4.45,clear sky
43,Hasaki,JP,35.7333,140.8333,39.22,64,100,10.45,overcast clouds
44,Salinopolis,BR,-0.6136,-47.3561,73.17,95,100,5.91,light rain
45,Kinablangan,PH,7.6947,126.5503,77.45,83,90,3.49,overcast clouds
46,Cherskiy,RU,68.75,161.3,-10.08,99,98,3.94,overcast clouds
47,Tasiilaq,GL,65.6145,-37.6368,23.16,64,100,26.4,overcast clouds
48,Mokhsogollokh,RU,61.4681,128.9203,-23.01,99,100,2.77,overcast clouds
49,Hobyo,SO,5.3505,48.5268,76.64,71,97,17.16,overcast clouds
50,Pisco,PE,-13.7,-76.2167,78.85,69,0,14.97,clear sky
51,Iqaluit,CA,63.7506,-68.5145,-34.87,61,20,4.61,few clouds
52,Busselton,AU,-33.65,115.3333,66.16,71,0,16.6,clear sky
53,Avarua,CK,-21.2078,-159.775,78.85,89,20,10.36,light rain
54,Caravelas,BR,-17.7125,-39.2481,87.6,43,9,10.56,clear sky
55,Labuhan,ID,-6.8844,112.2051,75.83,90,100,8.16,light rain
56,Ponta Delgada,PT,37.7333,-25.6667,63.32,72,20,12.66,few clouds
57,Bredasdorp,ZA,-34.5322,20.0403,71.91,48,0,12.88,clear sky
58,Yellowknife,CA,62.456,-114.3525,-34.08,67,20,8.05,mist
59,Meulaboh,ID,4.1363,96.1285,78.21,84,99,1.03,light rain
60,Rawson,AR,-43.3002,-65.1023,79.93,42,97,11.39,overcast clouds
61,Poum,NC,-20.2333,164.0167,81.03,74,96,16.2,overcast clouds
62,Hof,DE,50.3167,11.9167,35.46,92,75,11.01,light snow
63,Ulladulla,AU,-35.35,150.4667,65.73,50,0,7.65,clear sky
64,Huarmey,PE,-10.0681,-78.1522,76.5,72,45,8.75,scattered clouds
65,Salalah,OM,17.0151,54.0924,73.49,60,0,5.75,clear sky
66,Merauke,ID,-8.4667,140.3333,77.74,92,100,4.85,overcast clouds
67,Oulu,FI,65.0124,25.4682,21.31,93,100,6.91,overcast clouds
68,Beloha,MG,-25.1667,45.05,73.09,77,78,17.2,broken clouds
69,Komsomolskiy,UZ,40.4272,71.7189,43.52,61,40,4.61,smoke
70,Guaruja,BR,-23.9931,-46.2564,89.46,62,20,9.22,few clouds
71,Kalmunai,LK,7.4167,81.8167,76.46,91,98,5.3,overcast clouds
72,Ahuimanu,US,21.4447,-157.8378,71.31,93,75,1.01,broken clouds
73,Bilibino,RU,68.0546,166.4372,1.44,95,100,2.01,overcast clouds
74,Marfino,RU,55.7028,37.3822,32.14,80,75,11.18,broken clouds
