City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobyo,SO,2023-01-28 22:22:42,5.3505,48.5268,75.9,74,22,20.2
1,Mwinilunga,ZM,2023-01-28 22:22:42,-11.7358,24.4293,62.02,96,100,3.89
2,Punta Arenas,CL,2023-01-28 22:22:43,-53.15,-70.9167,62.71,39,40,37.98
3,Nikolskoye,RU,2023-01-28 22:22:43,59.7035,30.7861,24.8,92,100,11.45
4,Arraial Do Cabo,BR,2023-01-28 22:22:43,-22.9661,-42.0278,80.46,83,0,3.44
5,Okhotsk,RU,2023-01-28 22:22:44,59.3833,143.3,-17.46,84,98,10.04
6,Ceyhan,TR,2023-01-28 22:22:44,37.0247,35.8175,53.44,76,16,4.34
7,Acapulco,MX,2023-01-28 22:20:06,16.8634,-99.8901,85.82,58,0,6.91
8,Graham,US,2023-01-28 22:22:44,47.0529,-122.2943,43.7,88,100,6.91
9,Iqaluit,CA,2023-01-28 22:22:45,63.7506,-68.5145,-29.47,68,75,3.44
10,Smirnykh,RU,2023-01-28 22:22:45,49.75,142.8333,0.68,85,100,9.66
11,Faanui,PF,2023-01-28 22:22:45,-16.4833,-151.75,81.36,73,8,14.34
12,Isangel,VU,2023-01-28 22:22:46,-19.55,169.2667,86.11,79,75,4.61
13,Campbell River,CA,2023-01-28 22:22:46,50.0163,-125.2446,46.78,53,20,8.05
14,Albany,US,2023-01-28 22:22:46,42.6001,-73.9662,37.92,63,95,4.72
15,Cockburn Town,TC,2023-01-28 22:22:47,21.4612,-71.1419,76.32,66,9,22.39
16,Bilibino,RU,2023-01-28 22:22:47,68.0546,166.4372,-9.6,99,41,3.67
17,Yokadouma,CM,2023-01-28 22:22:47,3.5167,15.05,76.84,47,73,3.13
18,Esil,KZ,2023-01-28 22:22:47,51.9556,66.4042,4.35,98,96,5.95
19,San Patricio,US,2023-01-28 22:22:48,28.017,-97.5169,71.19,73,100,19.08
20,Atuona,PF,2023-01-28 22:19:32,-9.8,-139.0333,79.03,73,36,20.36
21,Avarua,CK,2023-01-28 22:19:06,-21.2078,-159.775,84.25,74,52,10.36
22,Rikitea,PF,2023-01-28 22:22:48,-23.1203,-134.9692,78.42,74,47,13.2
23,Mataura,NZ,2023-01-28 22:22:48,-46.1927,168.8643,70.25,46,5,0.54
24,Mnogovershinnyy,RU,2023-01-28 22:22:49,53.9353,139.9242,-20.2,82,18,4.07
25,Alexandria,EG,2023-01-28 22:21:50,31.2156,29.9553,55.94,67,21,6.44
26,Remedios,CU,2023-01-28 22:22:49,22.4947,-79.5458,76.12,70,26,17.94
27,Ushuaia,AR,2023-01-28 22:22:49,-54.8,-68.3,58.66,47,40,20.71
